 
CarID,Brand,Model,Price,Year,Miles,Gear,Fuel,Color,InteriorColor,Drive,Power,Weight,NumberofSeats,Body,NumberofDoors,TaxClass,NextEUInspectionDate,CylinderVolume,Sold
297642769,BMW,3-serie,36777,2005,238000,Automat,Bensin,Black,Bakhjulsdrift,218,1500kg,5,Stasjonsvogn,5,Personbil,31.08.2023,"2,5l",,False
280707057,BMW,4-serie,229034,2014,179000,Automat,Diesel,Grå,Bakhjulsdrift,163,1465kg,4,Coupe,2,5,Personbil,30.04.2025,2l,False
297269615,BMW,5-serie,479000,2020,37100,Automat,El + Bensin,Blå,Firehjulsdrift,296,1860kg,5,Sedan,Personbil,2l,,,,False
262302914,BMW,5-serie,96729,2008,227000,Automat,Diesel,Black,Bakhjulsdrift,197,1690kg,5,Stasjonsvogn,5,4,Personbil,30.06.2024,3l,True
296763901,BMW,5-serie,329000,2018,64300,Automat,El + Bensin,Blå,Sort Delskinn,Bakhjulsdrift,296,1770kg,5,Sedan,4,Personbil,2l,,False
295608494,BMW,3-serie,130000,2013,188000,Manuell,Diesel,Grå,Bakhjulsdrift,116,1410kg,5,Sedan,4,5,Personbil,01.05.2024,2l,False
296087813,BMW,5-serie,699000,2021,29000,Automat,El + Bensin,Black,sort,Firehjulsdrift,292,1960kg,5,Stasjonsvogn,5,Personbil,26.11.2024,2l,False
298094989,BMW,3-serie,178777,2011,180000,Automat,Diesel,Grå,Bakhjulsdrift,163,1505kg,4,Coupe,2,9,Personbil,2l,,False
197169411,BMW,5-serie,126649,2006,240000,Automat,Diesel,Black,Svart skinn,Bakhjulsdrift,231,1590kg,5,Sedan,4,9,Personbil,3l,False
296783547,BMW,3-serie,99900,2010,201000,Automat,Diesel,Black,Firehjulsdrift,177,1605kg,5,Stasjonsvogn,Personbil,2l,,,,False
292157271,BMW,3-serie,59999,2009,225000,Manuell,Diesel,Black,Bakhjulsdrift,143,1505kg,5,Flerbruksbil,Personbil,2l,,,,False
293202259,BMW,7-serie,221777,2011,107000,Automat,Bensin,Grå,Sort skinn,Bakhjulsdrift,408,1945kg,5,Sedan,5,Personbil,07.09.2023,"4,4l",False
293332296,BMW,5-serie,329000,2018,73000,Automat,El + Bensin,Blå,Sort,Bakhjulsdrift,297,1850kg,5,Sedan,4,Personbil,02.12.2022,2l,False
292267052,BMW,3-serie,129000,2009,157771,Automat,Diesel,Black,Antrasith,Bakhjulsdrift,177,1520kg,5,Stasjonsvogn,5,Personbil,2l,,False
291652242,BMW,3-serie,585000,2022,21000,Automat,El + Bensin,Black,Sort Alcantara,Firehjulsdrift,292,1890kg,5,Stasjonsvogn,5,Personbil,14.02.2026,2l,False
294113202,BMW,3-serie,529000,2022,33000,Automat,El + Bensin,Black,Skinn Vernasca svart søm blå,Firehjulsdrift,296,1820kg,5,Sedan,5,Personbil,2l,,False
296091855,BMW,3-serie GT,299000,2016,99750,Automat,Diesel,Sølv,Skinn Sort,Firehjulsdrift,190,1535kg,5,Kombi 5-dørs,5,Personbil,27.05.2023,2l,False
292359958,BMW,4-serie,238000,2015,172500,Automat,Diesel,Sølv,Sort Stoff/Alcantara,Firehjulsdrift,163,1600kg,5,Kombi 5-dørs,5,Personbil,2l,,False
296697278,BMW,5-serie,309147,2014,152600,Automat,Diesel,Grå,Sort skinn,Firehjulsdrift,313,1840kg,5,Sedan,4,Personbil,31.03.2024,3l,False
297990552,BMW,5-serie,121777,2006,335000,Automat,Diesel,Black,Bakhjulsdrift,272,1755kg,5,Stasjonsvogn,4,6,Personbil,3l,,False
282460534,BMW,3-serie,226729,1999,999999999,Manuell,Bensin,Grå,Sort,Bakhjulsdrift,343,1540kg,5,Stasjonsvogn,Personbil,"3,2l",,,False
291322368,BMW,3-serie,169000,2014,78000,Automat,Bensin,Sølv,Bakhjulsdrift,136,1470kg,5,Stasjonsvogn,5,Personbil,"1,6l",,,False
291330635,BMW,5-serie,515000,2020,39500,Automat,El + Bensin,Blå,Sort Dakotaskinn,Firehjulsdrift,292,1860kg,5,Sedan,4,Personbil,08.01.2024,2l,False
